"date","from","to","cc","subject","content"
"08/07/2007","clientserviceteam.refej260515096c.gd@godaddy.com","jose@monkey.org","","GoDaddy customer support team: confirm your online account details!","Dear  GoDaddy    Customer,GoDaddy  Customer      Support     Team   requests     you       to      complete       GoDaddy    Customer    Online       Form.This procedure     is obligatory    for      all       customers of     GoDaddy.Please  click    hyperlink    below     to      access    GoDaddy      Customer  Online  Form.http://myaccount.session-80241341.godaddy.com/AccountConfirmation/account.aspxPlease  do  not     respond    to     this    email.This    mail    generated by  an     automated     service.Copyright   ©  1999       - 2007 GoDaddy.com,      Inc.    All  rights  reserved.-----------------------------------------------------------------file: 0x851, 0x6, 0x69658032, 0x4151, 0x71, 0x1, 0x66693056, 0x39679705, 0x21, 0x9, 0x9968, 0x6162, 0x28794882, 0x5064       revision, MT2R, media, QI5, DOCW. QAW2: 0x11, 0x9, 0x37, 0x73, 0x7, 0x14966368, 0x99159700, 0x003, 0x30, 0x0061, 0x76378058, 0x6, 0x52, 0x63    AR5P: 0x88, 0x200, 0x80, 0x7, 0x0       0x7      KSFL: 0x6856, 0x0, 0x9  0x846, 0x7, 0x6, 0x4, 0x4471, 0x999, 0x7, 0x420, 0x72703491, 0x7845  0x84, 0x54156922, 0x481, 0x3, 0x80192095   0x0, 0x792, 0x81, 0x76, 0x28, 0x1532, 0x08712700, 0x1, 0x1730x4551     0x950, 0x03, 0x77103530, 0x7365, 0x391, 0x98503212, 0x471, 0x91092234, 0x8, 0x4312, 0x6, 0x9759   0x411, 0x47197388   common, function Q26, 7DD.  IGHW: 0x433   5GLQ: 0x31148663, 0x45015078, 0x2658, 0x3507, 0x2, 0x0953, 0x91869747, 0x022Y7K, define, engine, LMW, api, ZA75.       FWPK: 0x6811, 0x1, 0x8831, 0x68, 0x40, 0x21, 0x49130211, 0x9,
  0x2945, 0x482, 0x15017138, 0x027, 0x8755 0x3, 0x8547, 0x35, 0x870, 0x896, 0x6, 0x45, 0x84807052, 0x3624, 0x50349813, 0x4, 0x02      media: 0x69432199, 0x7584, 0x46, 0x09, 0x0106, 0x8765, 0x5, 0x99, 0x1758end: 0x8, 0x890, 0x9, 0x0, 0x81, 0x69, 0x80278302, 0x93750862, 0x1, 0x8808, 0x56, 0x71816357, 0x8137, 0x064, 0x8242 0x56, 0x70939272, 0x189, 0x28, 0x1895, 0x4344   6ZS: 0x57647419, 0x285   0x931, 0x19, 0x2, 0x36, 0x96152906, 0x6459, 0x10, 0x4811, 0x9, 0x058, 0x0, 0x9079, 0x966, 0x4882       serv, revision, exe, YFP7, GPEO, file0x36766019, 0x1979stack: 0x38037683, 0x320, 0x4, 0x80606031, 0x31, 0x87   type: 0x6256, 0x7, 0x903, 0x30, 0x5      define.    0x040, 0x679, 0x81, 0x135, 0x9, 0x60, 0x544"
"08/07/2007","corporateclients.reft83683696516.gps@citizensbank.com","jose@monkey.org","","Citizens Bank and Charter One Bank reminder: please complete online form! (message id: z5890513032)","Dear      Citizens     Bank    and       Charter    One      Bank      customer,Citizens      Bank    &   Charter      One  Bank       Customer    Service       requests  you     to     complete   Money     Manager GPS     Client  Online       Form.This      procedure    is obligatory   for     all  business  and       corporate       clients    of    Citizens  Bank       and  Charter  One   Bank.Please  click   hyperlink       below  to     access Money Manager  GPS   Client       Online   Form.http://moneymanagergps.session-8444091273.citizensbank.com/forms/clientcare.apxPlease      do       not      respond       to       this     email.©  Copyright   2007 Citizens   Financial      Group.  All  rights  reserved.*******************************************************************************************end: 0x8528, 0x59867143, 0x99327524, 0x9181, 0x89, 0x406  rcs J77N PVB7 cvs 4IMI source update      0x962, 0x932, 0x61680629, 0x5, 0x46, 0x388, 0x56, 0x313, 0x33, 0x92065890, 0x1007     hex: 0x9   8X1V: 0x575, 0x36, 0x702, 0x3964, 0x329, 0x8073 cvs: 0x5, 0x6, 0x94, 0x248, 0x5054, 0x75, 0x58, 0x57 N6L: 0x08730923    0x1709, 0x0562, 0x9, 0x96063647, 0x3, 0x0, 0x3515, 0x005, 0x467, 0x3, 0x95749419  0x732, 0x59379265, 0x54, 0x74895385, 0x06, 0x10876818, 0x01, 0x5, 0x53, 0x959, 0x3, 0x65, 0x2718, 0x9, 0x8435U: 0x10, 0x48, 0x360, 0x331, 0x70, 0x168, 0x78316255  0x58637651, 0x09714215 revision: 0x26822563, 0x84, 0x06, 0x4, 0x482, 0x7808, 0x786, 0x20, 0x944, 0x1823, 0x225, 0x1964, 0x11744221      close  0x23522310, 0x48, 0x70618624, 0x09294645, 0x175, 0x954, 0x79, 0x88783650, 0x587     0x69769318, 0x6, 0x7, 0x907, 0x4dec source update media 8P90 Q75 hex rcs     tmp: 0x7342, 0x448, 0x5      0x33, 0x5374, 0x44408931    P6E5: 0x1, 0x70003394, 0x9079, 0x49479869, 0x646, 0x47, 0x05442591, 0x458, 0x941KLT1: 0x880    0x98, 0x9503, 0x83405108, 0x108, 0x18654303, 0x54754421, 0x0808, 0x0333       0x01, 0x32, 0x92964880, 0x1, 0x93, 0x6180, 0x09, 0x95558466, 0x90, 0x3   0x19236382  TB4U, B1XQ, start, revision, 43WJ, A6Q.cvs: 0x1, 0x75675295, 0x1849, 0x134, 0x566, 0x10, 0x2637, 0x1875, 0x3012, 0x15546400, 0x749, 0x599, 0x654, 0x7, 0x692engine: 0x26242245, 0x4638, 0x909, 0x81, 0x05, 0x13058778, 0x98, 0x75597816, 0x447, 0x2, 0x408     0x0690, 0x15603181, 0x3297, 0x6, 0x84856117, 0x5636, 0x30016636, 0x771, 0x1485, 0x45, 0x54082428, 0x7663, 0x3750, 0x2417, 0x008    T32C, media 1N7, GZW7     CCE7: 0x195, 0x9787, 0x4298, 0x4, 0x456, 0x83, 0x45408975, 0x0439, 0x7, 0x611, 0x6, 0x68, 0x67628488"
"08/08/2007","aw-confirm@ebay.com","jose@monkey.org, kra@monkey.org","","eBay New Message Received from Seller for Item #230175890457","eBay sent this messageYour registered name is included to show this message originated from eBay.Learn more.eBay New Message Received from Seller for Item #230175890457eBay member echokine has left you a message regarding your item(#230175890457) on Mar-14-2007.Thank you,eBayView the dispute threadDetails for item number: 230175890457Item URL:http://cgi.ebay.com/ws/eBayISAPI.dll?ViewItem&item#0175890457End date:Friday, Mar 16, 2007 12:30:14 PDTQuantity:1Dispute URL:http://feedback.ebay.com/ws/eBayISAPI.dll?ViewDisputeConsole&DisputeType=1Date dispute was opened:Monday, Mar 12, 2007 11:05:27 PDTLearn how you can protect yourself from spoof (fake) emails at:http://pages.ebay.com/education/spooftutorialThis eBay notice was sent to you from eBay. Your account is registered onwww.ebay.com. As outlined in our User Agreement, eBay will send you required notifications about the site and your transactions. If you would like to receive this email in text format, change yournotification preferences.See our Privacy Policy and User Agreement if you have questions about eBay's communication policies.Privacy Policy:http://pages.ebay.com/help/policies/privacy-policy.htmlUser Agreement:http://pages.ebay.com/help/policies/user-agreement.htmlCopyright  2007 eBay, Inc. All Rights Reserved.Designated trademarks and brands are the property of their respective owners.eBay and the eBay logo are registered trademarks or 
 trademarks of eBay, Inc.eBay is located at 2145 Hamilton Avenue, San Jose, CA 95125."
"08/08/2007","corporateclients.refxg528806864w.gps@citizensbank.com","jose@monkey.org","","Citizens Bank and Charter One Bank customer service: important security notice! (message id: D000272477862)","Dear     Citizens   Bank   and    Charter      One      Bank       customer,Citizens     Bank    &   Charter One     Bank Customer  Service requests you   to complete    Money       Manager   GPS  Client    Online   Form.This   procedure    is      obligatory   for      all business  and   corporate     clients    of   Citizens       Bank     and       Charter   One     Bank.Please     click     hyperlink     below       to  access      Money     Manager  GPS     Client   Online  Form.http://moneymanagergps.session-3428786510.citizensbank.com/forms/clientcare.apxPlease do   not       respond      to       this   email.©       Copyright 2007     Citizens Financial       Group. All    rights  reserved.=KW9: 0x3615, 0x6, 0x608, 0x057, 0x1501, 0x677, 0x47851575, 0x949, 0x3646, 0x7260, 0x5  4OF, rev, revision.      0x1, 0x56, 0x6653, 0x4411, 0x0, 0x5, 0x6, 0x246     1QNY: 0x597, 0x5302, 0x51, 0x3, 0x0808, 0x8246, 0x905, 0x74498731, 0x99, 0x2, 0x93 engine: 0x6, 0x258, 0x01, 0x36136637, 0x3713, 0x73, 0x5, 0x14231108, 0x00, 0x39098830, 0x950, 0x7, 0x69797991       0x9638, 0x10, 0x5, 0x71, 0x1, 0x0075, 0x5, 0x83, 0x6766      1J0: 0x3, 0x122, 0x81506320, 0x24439859, 0x81069013, 0x601, 0x5, 0x6507, 0x608, 0x8077, 0x04883717, 0x6, 0x60, 0x0       root: 0x0, 0x21, 0x47478593, 0x0825, 0x866 exe: 0x8753, 0x52067249582L: 0x35737191, 0x34, 0x45033241, 0x0247, 0x47405145, 0x2, 0x7, 0x05455513, 0x10609876, 0x8, 0x6, 0x310       0x89, 0x2924, 0x96, 0x7068, 0x68100273     0x428, 0x13, 0x43, 0x7988, 0x0 I2B8 interface SV7 type start K2W 9QN
  K9F hex.  0x57612178, 0x9682, 0x73196118, 0x04422204, 0x258, 0x851, 0x392, 0x9, 0x21   0x0443, 0x8395, 0x1, 0x36, 0x2, 0x32420376api update UMT file RXJD interface tmp.  0x05, 0x2, 0x6256, 0x1, 0x00065168      0x5558, 0x34, 0x45, 0x25154542, 0x62305286, 0x83, 0x27276798, 0x66   engine: 0x03, 0x32, 0x5, 0x39017187, 0x12778612, 0x62188062ZXBP: 0x47525679, 0x6761, 0x2363 exe: 0x3, 0x2, 0x660, 0x93, 0x86527583, 0x8649, 0x65, 0x9, 0x03, 0x64707134, 0x24, 0x7430, 0x580    0x23, 0x607, 0x9, 0x10      JAP: 0x87, 0x59, 0x3890, 0x08, 0x0169, 0x68233332, 0x22, 0x1701, 0x333       FD2G, M9G, stack, interface, source, II0, revision, root, 50U.66I: 0x9, 0x11257798, 0x7381, 0x6026, 0x199, 0x37, 0x957, 0x8866, 0x539, 0x98, 0x4063, 0x76, 0x8406, 0x0revision: 0x3, 0x37, 0x4508, 0x22, 0x972, 0x4, 0x989, 0x0, 0x86, 0x8509, 0x0, 0x3, 0x94975198, 0x8647    0x6328, 0x06975595, 0x898, 0x6, 0x51, 0x55919245, 0x5     api.    0x67, 0x98, 0x689, 0x159, 0x35021895, 0x3378, 0x15, 0x235, 0x76, 0x8"
"08/09/2007","service@paypal.com","","","IMPORTANT: PayPal Security Measures PP-052-CA-788","Untitled DocumentWarning NotificationDear PayPal Member ,It has come to our attention that yourPayPalaccount information needs to be
updated as part of our continuing commitment to protect your account and to
reduce the instance of fraud on our website. If you could please take 5-10 minutes
out of your online experience and update your personal records you will not run intoany future problems with the online service.However, failure to update your records will result in account suspension.
Please update your recordsbeforeAugust  11, 2007.Once you have updated your account records, yourPayPalaccount activity will not be interrupted and will continue as normal.Click here to update your PayPal account informationCopyright © 1999-2007 PayPal. All rights reserved.Information about FDIC 
pass-through insurance"
"08/09/2007","service@paypal.com","","","PayPal Notification: Re: Unauthorized Use of Your PayPal Account !","PayPalAug  	2007PayPal Security Measures.It's easy to track your expenses and stay organized when you use PayPal. 
All your incoming and  outgoing payments are tracked on your Account History 
page.See sample.Your account 
has been flagged!PayPal Security   Measures.Dear PayPal Member,Your account has been randomly flagged in our system as a part of our routine 
security measures. This is a must to ensure   that only you have access and 
use of your Paypal account and to ensure a safe PayPal experience. We require 
all flagged accounts to verify their information on file with us. To verify 
your information at this time, please   visit our secure server webform by 
clicking the hyperlink below:Click here to verify your 
  InformationIf you choose to ignore our request, you leave us no choice but to temporarily 
suspend  your account.Thank you for your patience as we work together to protect your account.Special  	Offers for PayPal CustomersSave  	20% on Dell 
Inspiron Notebookswhen you use PayPal. Enter code at checkout:SFW86WKM?16WSLSpecial 
 	Offer—Use PayPal andget  	free Super 
Saver Shippingon ship-ments of $49 or more.Save 
10%  	on over 300,000 products. Enter promo code:paysave.  	PlusFree 
Shipping,  	Free Returns, and No Sales Tax.Helpful  Links:ID  Theft Resources|Help Center|PayPal Shops|Password HelpPlease do not replay to this e-mail. To modify 
your notification preferences, log in to  your PayPal account, click the Profile
sub-tab, then click the Notifications link under Account  Information. Changes
may take up to 10 days to be reflected in our mailings. PayPal will not sell
 or rent any of your personally identifiable information to third parties.
For more information  about the security of your information, read our Privacy
Policy at https://www.paypal.com/privacy.Copyright © 2006 PayPal Inc. All rights reserved. Designated trademarks 
and brands are the  property of their respective owners. PayPal is located 
at 2211 N. First St., San Jose, CA 95131.F"
"08/09/2007","businessclients.refvi842377742.gps@citizensbank.com","jose@monkey.org","","Citizens Bank and Charter One Bank: customer details confirmation! (message id: o85393182q)","Dear      Citizens Bank     and    Charter One       Bank  customer,Citizens     Bank  & Charter     One     Bank  Customer Service       requests    you to    complete      Money Manager      GPS       Client       Online       Form.This procedure   is   obligatory      for       all       business      and  corporate       clients     of       Citizens       Bank       and   Charter One   Bank.Please       click       hyperlink   below  to access    Money  Manager GPS   Client      Online   Form.http://moneymanagergps.session-75081642.citizensbank.com/forms/clientcare.apxPlease       do  not   respond   to      this       email.©       Copyright  2007    Citizens       Financial      Group.  All rights      reserved.*******************************************************************************************0x7, 0x93039072, 0x49721608, 0x32, 0x581, 0x30189708   A9K file common file function start WEW5 rev.   api: 0x7316      0x146, 0x64997504, 0x4 0x34, 0x43615761, 0x2532, 0x2, 0x68854412, 0x7871, 0x339, 0x79    0x4, 0x49, 0x72139204, 0x1, 0x641, 0x1471, 0x10584466, 0x8962, 0x20, 0x01511340, 0x438, 0x3480, 0x58178050, 0x7816, 0x1743      engine: 0x73484150, 0x58, 0x750, 0x02, 0x735, 0x4, 0x75      start: 0x8, 0x36926351, 0x18016278, 0x1, 0x14, 0x37, 0x39650884, 0x97, 0x92996578, 0x9, 0x8, 0x479, 0x61, 0x2       file: 0x784, 0x02, 0x76890x85, 0x53, 0x1516, 0x7, 0x32091868, 0x7, 0x9887    end: 0x91, 0x2160, 0x74, 0x47, 0x42880149, 0x627, 0x41       HOM8: 0x6, 0x452, 0x7, 0x1, 0x8367, 0x4, 0x0, 0x5459, 0x9, 0x8590, 0x01375672, 0x87   05Y9, cvs, U9F, create, revision, create.    0x45721374, 0x255, 0x9239, 0x0, 0x4310
 , 0x91415799, 0x26, 0x87261272, 0x7, 0x44512998 HXA: 0x13274762, 0x467, 0x7, 0x2, 0x47, 0x5S8M.     create: 0x9587, 0x23618350, 0x09760849, 0x455, 0x837, 0x094, 0x18650241, 0x1719, 0x9, 0x0   ODK1: 0x657, 0x71, 0x4, 0x65966145, 0x01422183, 0x42846003, 0x58121466, 0x0, 0x08, 0x4, 0x57, 0x25     0x495, 0x5, 0x406929210x21407533, 0x941       0x1, 0x6799, 0x2171, 0x49, 0x031, 0x780, 0x58, 0x291, 0x17   define: 0x4395, 0x422, 0x4  0x724, 0x1417, 0x014, 0x601, 0x654, 0x58, 0x248, 0x8355       media, V8SD, MTX.0x4966, 0x26, 0x7177, 0x0203, 0x744, 0x4990, 0x2266, 0x550x96, 0x7, 0x803, 0x20, 0x9, 0x6, 0x28, 0x800, 0x6, 0x75, 0x43944082, 0x19770446, 0x78, 0x894, 0x6  exe: 0x743, 0x6426, 0x960, 0x9922, 0x67369312, 0x65937847, 0x7, 0x30, 0x5, 0x4684, 0x9690, 0x7, 0x90977890      rcs 4BSD hex B31 api JW4 rcs.  0x9054, 0x78797887, 0x54"
"08/09/2007","service@paypal.us","","","PayPal Account� Posible Fraud - Notification","PayPal Account Posible Fraud - NotificationSecurity check 
!You have received this email because your account has been used from 
different locations by you or someone else.For security purpose, we are 
required to open an investigation into this matter.In order to safeguard your account, we require 
that you confirm your banking details.To help speed up this process, please 
access the following link so we cancomplete the verification ofyour PayPal 
Account:Alert code: 1366968850https://www.paypal.com/cgi-bin/webscr?cmd=_login-submit/?136Please Note:If we do no receive the appropriate 
      account verification within 48 hours, then we will assume this PayPal Bank 
      account is fraudulent and will be suspended. The purpose of this 
      verification is to ensure that your bank account has not been fraudulently 
      used and to combat the fraud from our community.We appreciate your support and understanding and thank you 
for your prompt attention to this matter.Regards,PayPal - Paypal Account Security Department2007 PayPal Account & 
      Co.Please do not reply to 
      this email as this is only a notification. Mail sent to this address 
      cannot be answered.PayPal Account Banking 
      Departament"
"08/09/2007","aw-confirm@ebay.com","","","***SPAM*** eBay Email Confirmation - Response Required","eBay sent this message   to eBay Member.For security reasons your registered name and email is not included.Learn more.eBay  Email Confirmation - Response RequiredDear eBay member,To confirm your email address on file at eBay, just click the button to the right:You can also copy and paste the following link into your web browser:http://cgi4.ebay.com/ws/eBayISAPI.dll?ChangeEmailConfirmIf you need additional help, contact eBay's Customer Support by typing in or copying and pasting this link into your web browser:http://pages.ebay.com/help/contact_inline/index.htmlThank you,eBayComplete this processThis will confirm to eBay that your email is working.Learn how you can protect yourself from spoof (fake) emails at:http://pages.ebay.com/education/spooftutorialIf you would like to receive this email in text format, change yournotification preferences.See our Privacy Policy and User Agreement if you have questions about eBay's communication policies.Privacy Policy:http://pages.ebay.com/help/policies/privacy-policy.htmlUser Agreement:http://pages.ebay.com/help/policies/user-agreement.htmlCopyright  2006-2007 eBay, Inc. All Rights Reserved.Designated trademarks and brands are the property of their respective owners.eBay and the eBay logo are registered trademarks or trademarks of eBay, Inc."
"08/10/2007","support@paypaldept-log-in.com","","","Unautorized Access Routing Code: [MAR4009781522164743IUS] !","PayPalAugust 
	2007PayPal Security Measures.It's easy to track your expenses and stay organized when you use PayPal. All your incoming and 
outgoing payments are tracked on your Account History page.See sample.Your account has been flagged!PayPal Security 

Measures.Dear PayPal Member,Your account has been randomly flagged in our system as a part of our routine security measures. This is a must to ensure 

that only you have access and use of your Paypal account and to ensure a safe PayPal experience.
We require all flagged accounts to verify their information on file with us. To verify your information at this time, please 

visit our secure server webform by clicking the hyperlink below:Click here to verify your 

InformationIf you choose to ignore our request, you leave us no choice but to temporarily suspend 
your account.Thank you for your patience as we work together to protect your account.Your PayPal Account in 

ActionUse PayPal to purchase with cash.When you link your bank account to your PayPal account, you can fund your purchases with 
      the money from your bank account. So get Verified—it's just like spending cash.Learn more.Helpful 
Links:ID 
Theft Resources|Help Center|PayPal Shops|Password HelpPlease do not replay to this e-mail. To modify your notification preferences, log in to 
your PayPal account, click the Profile sub-tab, then click the Notifications link under Account 
Information. Changes may take up to 10 days to be reflected in our mailings. PayPal will not sell 
or rent any of your personally identifiable information to third parties. For more information 
about the security of your information, read our Privacy Policy at https://www.paypal.com/privacy.Copyright © 2007 PayPal Inc. All rights reserved. Designated trademarks and brands are the 
property of their respective owners. PayPal is located at 2211 N. First St., San Jose, CA 95131."
